"circuit_index","phenotype_pattern","count"
73,"0000|0011|1000|1111",14
73,"0000|0011|1011|1101|1111",10
73,"0000|0011|1000|1011|1101",2
74,"0000|1111",3819
74,"0000|0011|1000|1100|1111",265
74,"0000|0011|1111",5618
74,"0000|0011|1000|1111",62
74,"0000|0011|1000|1011|1100|1111",4
74,"0000|1000|1100|1111",185
74,"0000|0011|1011|1111",5
74,"0000|1000|1111",42
75,"0000|0011|1111",4576
75,"0000|1111",3484
75,"0000|1101|1111",326
75,"0000|0011|1101|1111",502
75,"0000|0011|1000|1101",119
75,"0000|1101",23
75,"0000|0011|1011|1111",477
75,"0000|1000|1101",73
75,"0000|1000|1101|1111",60
75,"0000|0011|1000|1111",10
75,"0000|0011|1000|1100|1111",60
75,"0000|1000|1100|1111",46
75,"0000|0011|1101",44
75,"0000|0011|1000|1011|1101|1111",19
75,"0000|0011|1011|1101|1111",49
75,"0000|0011|1000|1101|1111",95
75,"0000|0011|1000|1011|1101",16
75,"0000|0011|1000|1011|1100|1111",6
75,"0000|0011|1011|1101",3
75,"0000|1000|1111",10
75,"0000|0011|1000|1011|1111",2
76,"0000|0011|1111",8683
76,"0000|0011|1101|1111",854
76,"0000|0011|1011|1111",94
76,"0000|0011|1000|1100|1111",125
76,"0000|0011|1101",143
76,"0000|0011|1000|1101|1111",29
76,"0000|0011|1000|1111",31
76,"0000|0011|1001|1101|1111",25
76,"0000|0011|1001|1011|1101|1111",10
76,"0000|0011|1001|1101",2
76,"0000|0011|1001|1011|1101",1
76,"0000|0011|1000|1011|1100|1111",2
76,"0000|0011|1001|1111",1
77,"0000|0011|1001|1101",80
77,"0000|0011|1011|1111",7824
77,"0000|0011|1011|1101|1111",911
77,"0000|0011|1001|1011|1101",548
77,"0000|0011|1011|1101",75
77,"0000|0011|1001|1011|1101|1111",371
77,"0000|0011|1000|1011|1101",107
77,"0000|0011|1000|1011|1100|1111",16
77,"0000|0011|1000|1011|1101|1111",66
77,"0000|0011|1000|1011|1111",2
78,"0000|0011|1111",4893
78,"0000|1111",3588
78,"0000|0011|1101|1111",446
78,"0000|0011|1011|1111",370
78,"0000|1101|1111",290
78,"0000|1101",63
78,"0000|0011|1101",77
78,"0000|0011|1001|1011|1101",4
78,"0000|0011|1001|1011|1101|1111",37
78,"0000|0011|1001|1101|1111",53
78,"0000|0011|1000|1100|1111",68
78,"0000|1001|1101|1111",7
78,"0000|0011|1000|1111",11
78,"0000|0011|1000|1101|1111",12
78,"0000|1000|1100|1111",45
78,"0000|0011|1001|1101",9
78,"0000|1000|1101|1111",8
78,"0000|1000|1111",11
78,"0000|0011|1000|1011|1100|1111",4
78,"0000|0011|1000|1011|1101|1111",2
78,"0000|0011|1011|1101|1111",1
78,"0000|0011|1000|1011|1111",1
79,"0000|1111",3633
79,"0000|0011|1111",5847
79,"0000|0011|1000|1100|1111",266
79,"0000|0011|1000|1111",55
79,"0000|1000|1111",26
79,"0000|1000|1100|1111",171
79,"0000|0011|1011|1111",2
80,"0000|0011|1111",7106
80,"0000|0011|1011|1111",63
80,"0000|0011|1101|1111",673
80,"0000|1000|1100|1111",14
80,"0000|1111",1435
80,"0000|0011|1000|1101",183
80,"0000|1101|1111",134
80,"0000|0011|1000|1100|1111",75
80,"0000|0011|1101",84
80,"0000|0011|1000|1101|1111",141
80,"0000|0011|1000|1111",18
80,"0000|1000|1101|1111",17
80,"0000|0011|1011|1101|1111",6
80,"0000|1000|1101",27
80,"0000|0011|1000|1011|1101",1
80,"0000|0011|1000|1011|1100|1111",3
80,"0000|0011|1000|1011|1101|1111",2
80,"0000|0011|1011|1101",1
80,"0000|1101",16
80,"0000|1000|1111",1
81,"0000|1111",4820
81,"0000|0011|1111",4666
81,"0000|1000|1100|1111",222
81,"0000|0011|1000|1100|1111",223
81,"0000|0011|1000|1111",34
81,"0000|1000|1111",33
81,"0000|0011|1011|1111",2
82,"0000|0011|1111",7303
82,"0000|0011|1000|1100|1111",100
82,"0000|1111",1461
82,"0000|1001|1101|1111",143
82,"0000|0011|1001|1101|1111",692
82,"0000|0011|1001|1101",101
82,"0000|0011|1001|1011|1101|1111",9
82,"0000|0011|1011|1111",61
82,"0000|1001|1101",22
82,"0000|0011|1101|1111",20
82,"0000|1000|1100|1111",20
82,"0000|0011|1000|1101|1111",20
82,"0000|0011|1000|1111",17
82,"0000|0011|1001|1111",13
82,"0000|0011|1001|1011|1111",1
82,"0000|1101|1111",2
82,"0000|1001|1111",2
82,"0000|1000|1101|1111",6
82,"0000|0011|1001|1011|1101",1
82,"0000|1000|1111",3
82,"0000|0011|1000|1011|1111",1
82,"0000|0011|1000|1011|1101|1111",1
82,"0000|0011|1000|1011|1100|1111",1
83,"0000|0011|1111",9327
83,"0000|0011|1000|1111",503
83,"0000|0011|1000|1100|1111",10
83,"0000|0011|1011|1111",155
83,"0000|0011|1000|1011|1111",5
84,"0000|0011|1011|1111",9436
84,"0000|0011|1000|1011|1111",463
84,"0000|0011|1000|1011|1100|1111",3
84,"0000|0011|1000|1011|1101|1111",30
84,"0000|0011|1011|1101|1111",59
84,"0000|0011|1000|1011|1101",8
84,"0000|0011|1011|1101",1
85,"0000|0011|1111",5136
85,"0000|1111",3810
85,"0000|0011|1011|1111",521
85,"0000|0011|1000|1111",257
85,"0000|0011|1000|1011|1111",39
85,"0000|1000|1111",234
85,"0000|0011|1000|1100|1111",3
86,"0000|0011|1011|1111",8784
86,"0000|0011|1001|1011|1111",909
86,"0000|0011|1000|1011|1111",182
86,"0000|0011|1001|1011|1101|1111",48
86,"0000|0011|1001|1111",67
86,"0000|0011|1001|1101|1111",4
86,"0000|0011|1001|1101",2
86,"0000|0011|1000|1011|1100|1111",3
86,"0000|0011|1000|1011|1101|1111",1
87,"0000|1111",1603
87,"0000|0011|1111",7800
87,"0000|0011|1000|1111",431
87,"0000|1000|1111",83
87,"0000|0011|1011|1111",68
87,"0000|0011|1000|1100|1111",8
87,"0000|0011|1000|1011|1111",5
87,"0000|1000|1100|1111",2
88,"0000|1111",7133
88,"0000|0011|1111",2312
88,"0000|1000|1100|1111",366
88,"0000|0011|1000|1111",20
88,"0000|0011|1000|1100|1111",109
88,"0000|1000|1111",57
88,"0000|0011|1011|1111",3
89,"0000|0011|1111",1999
89,"0000|1111",6379
89,"0000|1101",67
